config,rep,steps,avg_step_ns
gravity,0,8000,113.135
+drag,0,8000,352.754
+spin,0,8000,897.398
+coriolis,0,8000,541.175
+spin,1,8000,900.486
+coriolis,1,8000,541.612
+drag,1,8000,489.784
gravity,1,8000,102.4
gravity,2,8000,142.796
+spin,2,8000,946.752
+coriolis,2,8000,768.75
+drag,2,8000,344.651
+spin,3,8000,919.11
+drag,3,8000,345.216
+coriolis,3,8000,520.531
gravity,3,8000,176.4
+spin,4,8000,877.632
+coriolis,4,8000,561.269
gravity,4,8000,140.283
+drag,4,8000,494.637
+spin,5,8000,984.788
+coriolis,5,8000,525.293
gravity,5,8000,121.823
+drag,5,8000,398.957
+spin,6,8000,1200.05
+drag,6,8000,610.097
+coriolis,6,8000,909.972
gravity,6,8000,146.59
+spin,7,8000,1194.84
+drag,7,8000,348.43
+coriolis,7,8000,541.883
gravity,7,8000,130.845
gravity,8,8000,131.937
+coriolis,8,8000,545.791
+drag,8,8000,373.57
+spin,8,8000,920.81
