config,rep,steps,avg_step_ns
gravity,0,8000,231.614
+drag,0,8000,790.82
+spin,0,8000,1790.87
+coriolis,0,8000,1009.09
+spin,1,8000,1763.63
+coriolis,1,8000,1150.4
+drag,1,8000,828.942
gravity,1,8000,227.232
gravity,2,8000,232.248
+spin,2,8000,1739.5
+coriolis,2,8000,1009.1
+drag,2,8000,664.772
+spin,3,8000,1733.09
+drag,3,8000,661.032
+coriolis,3,8000,968.984
gravity,3,8000,234.628
+spin,4,8000,1734.93
+coriolis,4,8000,1029.88
gravity,4,8000,223.398
+drag,4,8000,671.774
+spin,5,8000,1779.14
+coriolis,5,8000,1069.75
gravity,5,8000,218.403
+drag,5,8000,702.796
+spin,6,8000,1907.93
+drag,6,8000,671.705
+coriolis,6,8000,976.48
gravity,6,8000,248.62
+spin,7,8000,1793.31
+drag,7,8000,670.177
+coriolis,7,8000,1056.39
gravity,7,8000,226.022
gravity,8,8000,209.938
+coriolis,8,8000,1009.2
+drag,8,8000,674.211
+spin,8,8000,1748.58
