euler_x,euler_y,midpoint_x,midpoint_y,rk4_x,rk4_y,analytical_x,analytical_y
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5.00000000,7.50000000,3.75000000,5.31854219,3.93229167,5.63667145,3.93469340,5.64086288
7.50000000,10.63708438,6.09375000,8.18294434,6.31829156,8.57480668,6.32120559,8.57989215
8.75000000,11.59271094,7.55859375,9.51350896,7.76604670,9.87554885,7.76869840,9.88017650
9.37500000,11.45760859,8.47412109,9.88542513,8.64450229,10.18276865,8.64664717,10.18651181
9.68750000,10.77714180,9.04632568,9.65818602,9.17752353,9.88714807,9.17915001,9.88998656
9.84375000,9.82399277,9.40395355,9.05647486,9.50094527,9.22574152,9.50212932,9.22780789
9.92187500,8.73450264,9.62747097,8.22071866,9.69718814,8.34238672,9.69802617,8.34384921
9.96093750,7.57684194,9.76716936,7.23868432,9.81626260,7.32436019,9.81684361,7.32537415
9.98046875,6.38509597,9.85448085,6.16522614,9.88851350,6.22461878,9.88891003,6.22531079
9.99023438,5.17630736,9.90905053,5.03462805,9.93235325,5.07529517,9.93262053,5.07576162
9.99511719,3.95899743,9.94315658,3.86831753,9.95895392,3.89588652,9.95913229,3.89619779
9.99755859,2.73742684,9.96447286,2.67968674,9.97509444,2.69822315,9.97521248,2.69842915
9.99877930,1.51372592,9.97779554,1.47710577,9.98488803,1.48948335,9.98496561,1.48961874
9.99938965,0.28895984,9.98612221,0.26580595,9.99083050,0.27402269,9.99088118,0.27411114
