config,rep,steps,avg_step_ns
gravity,0,8000,204.777
+drag,0,8000,550.773
+spin,0,8000,1321.71
+coriolis,0,8000,800.187
+spin,1,8000,1333.28
+coriolis,1,8000,802.384
+drag,1,8000,558.967
gravity,1,8000,193.148
gravity,2,8000,195.929
+coriolis,2,8000,806.044
+spin,2,8000,1364.48
+drag,2,8000,672.779
+coriolis,3,8000,816.918
+drag,3,8000,566.438
gravity,3,8000,195.194
+spin,3,8000,1376.19
+spin,4,8000,1375.45
+drag,4,8000,601.498
+coriolis,4,8000,837.053
gravity,4,8000,205.266
+drag,5,8000,571.102
+spin,5,8000,1343.84
+coriolis,5,8000,822.482
gravity,5,8000,196.17
+coriolis,6,8000,837.978
+spin,6,8000,1362.61
+drag,6,8000,576.035
gravity,6,8000,187.405
+spin,7,8000,1372.62
+coriolis,7,8000,823.633
gravity,7,8000,194.781
+drag,7,8000,576.054
+spin,8,8000,1393.09
gravity,8,8000,197.119
+drag,8,8000,590.917
+coriolis,8,8000,832.498
