config,rep,steps,avg_step_ns
gravity,0,8000,888.492
+drag,0,8000,1866.21
+spin,0,8000,3962.92
+coriolis,0,8000,2848.41
+spin,1,8000,4054.08
+coriolis,1,8000,2760.6
+drag,1,8000,2011.89
gravity,1,8000,1062.04
gravity,2,8000,1047.08
+coriolis,2,8000,2770.59
+spin,2,8000,4145.48
+drag,2,8000,2015.9
+coriolis,3,8000,2720.93
+drag,3,8000,2055.01
gravity,3,8000,1064.84
+spin,3,8000,4153.72
+spin,4,8000,4180.14
+drag,4,8000,2098.95
+coriolis,4,8000,2747.34
gravity,4,8000,1060.19
+drag,5,8000,2066.07
+spin,5,8000,4170.05
+coriolis,5,8000,2804.01
gravity,5,8000,1064.07
+coriolis,6,8000,2728.73
+spin,6,8000,4311.79
+drag,6,8000,2098.42
gravity,6,8000,1071.54
+spin,7,8000,4207.37
+coriolis,7,8000,2837.91
gravity,7,8000,1109.01
+drag,7,8000,2053.57
+spin,8,8000,4303.45
gravity,8,8000,1095.78
+drag,8,8000,2112.82
+coriolis,8,8000,2800.89
