integrator,rep,avg_step_ns
euler,0,123.4
euler,1,110.2
euler,2,116.333
euler,3,115.467
euler,4,82.1333
euler,5,101.667
euler,6,116.267
euler,7,159.067
euler,8,115.467
euler,9,120.4
euler,10,112.867
euler,11,110.867
euler,12,120.533
euler,13,102.067
euler,14,105.467
midpoint,0,194.667
midpoint,1,331.867
midpoint,2,184.4
midpoint,3,162.067
midpoint,4,210.933
midpoint,5,176.467
midpoint,6,221.6
midpoint,7,184.733
midpoint,8,167.133
midpoint,9,160.667
midpoint,10,172.133
midpoint,11,211.067
midpoint,12,190.267
midpoint,13,158.667
midpoint,14,188.067
rk4,0,318.6
rk4,1,458.4
rk4,2,555.267
rk4,3,379.4
rk4,4,333.4
rk4,5,392.667
rk4,6,454.267
rk4,7,470.467
rk4,8,604.067
rk4,9,352.333
rk4,10,351.2
rk4,11,331.2
rk4,12,335
rk4,13,354.2
rk4,14,317.733
